"Id","Code","Prefix","Activity Name","Activity Marketing Name","Activity Value","Activity Value Marketing","Card Type","Design Type","Sale Date","Expiry Date","Card Used Date","Status","Created At"
"43","VEB1x 4000438","VEB1x","Мото Электробайк","Заезд на электробайке","1 заезд для 1 человека в группе","Заезд 1,5 часа на электробайке для 1 человека в группе.","electronic","design1","11.12.2023","11.12.2024","","crds_pickup","11.12.2023"
"44","VEB1x 7000445","VEB1x","Мото Электробайк","Заезд на электробайке","1 заезд для 1 человека в группе","Заезд 1,5 часа на электробайке для 1 человека в группе.","electronic","design1","","","","crds_pickup","11.12.2023"
"45","VEB1x 3000459","VEB1x","Мото Электробайк","Заезд на электробайке","1 заезд для 1 человека в группе","Заезд 1,5 часа на электробайке для 1 человека в группе.","electronic","design1","","","","crds_pickup","11.12.2023"
"46","VEFL30 5000461","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","31.07.2023","31.07.2024","","crds_pickup","11.12.2023"
"47","VEFL30 5000478","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","01.08.2023","31.07.2024","","crds_pickup","11.12.2023"
"48","VEFL30 4000480","VEFL30","Электрофойл","Катание на электрофойле с инструктором","1 час катания на электрофойле","1 час катания на электрофойле с инструктором для 1-2 человек.","electronic","design1","01.02.2024","31.07.2025","","crds_pickup","11.12.2023"
"49","VSN1X 4000498","VSN1X","Снегоходы","Катание на снегоходе","1 час на 1 снегоходе","1 час катания на снегоходе для 1-2 человек.","electronic","design1","01.10.2023","01.04.2024","","crds_pickup","11.12.2023"
"50","VSN1X 0000506","VSN1X","Снегоходы","Катание на снегоходе","1 час на 1 снегоходе","1 час катания на снегоходе для 1-2 человек.","electronic","design1","30.01.2024","30.01.2025","","null_status","11.12.2023"
"51","VSN1X 1000512","VSN1X","Снегоходы","Катание на снегоходе","1 час на 1 снегоходе","1 час катания на снегоходе для 1-2 человек.","electronic","design1","01.02.2023","30.01.2024","","null_status","11.12.2023"
"52","VSN2X 1000525","VSN2X","Снегоходы","Катание на снегоходе","2 cнегохода на 1 час или 1 снегоход на 2 часа","2 часа катания на одном снегоходе или 1 час катания на двух снегоходах для 2-4 человек.","electronic","design1","30.10.2023","30.04.2024","","null_status","11.12.2023"
"53","VSN2X 5000538","VSN2X","Снегоходы","Катание на снегоходе","2 cнегохода на 1 час или 1 снегоход на 2 часа","2 часа катания на одном снегоходе или 1 час катания на двух снегоходах для 2-4 человек.","electronic","design1","","","","null_status","11.12.2023"
"54","VSN2X 2000547","VSN2X","Снегоходы","Катание на снегоходе","2 cнегохода на 1 час или 1 снегоход на 2 часа","2 часа катания на одном снегоходе или 1 час катания на двух снегоходах для 2-4 человек.","electronic","design1","","","","null_status","11.12.2023"
